S0,M,price,time elapsed,s.e,rel. error,basis func,degrees,simulations,halton
110,150,2.0372412663892083,0.05542635917663574,0.13152472968444645,0.04369508036463964,laguerre,5,1000,True
110,170,1.976431270976186,0.05495572090148926,0.13389885252806139,0.021970261374749674,laguerre,5,1000,True
110,190,2.0429521268057838,0.05564546585083008,0.13733332113823168,0.04611521865607864,laguerre,5,1000,True
90,10,10.8961895664335,0.008000612258911133,0.21839869447819615,0.028799059449611863,laguerre,5,1000,False
90,30,10.834320519399142,0.007999181747436523,0.1895136317787307,0.011628130429147652,laguerre,5,1000,False
90,50,10.927245253931638,0.013263463973999023,0.22674398740842344,0.04030399292360359,laguerre,5,1000,False
90,70,10.8676147472557,0.031267642974853516,0.1853008138428003,0.019917122872970174,laguerre,5,1000,False
90,90,10.979938142298503,0.031243562698364258,0.20583824418052604,0.06423762848625465,laguerre,5,1000,False
90,110,11.167393529224423,0.05091357231140137,0.20957919383554516,0.19439882315525725,laguerre,5,1000,False
90,130,11.250468371908358,0.04799532890319824,0.24263493729624735,0.27455678191720106,laguerre,5,1000,False
90,150,11.10542522646676,0.07074975967407227,0.23367457629534555,0.1435943991904017,laguerre,5,1000,False
90,170,11.130909273700011,0.09604430198669434,0.2068079049855397,0.16355760995324495,laguerre,5,1000,False
90,190,10.95188211055141,0.08795666694641113,0.17649770975453374,0.05080308654712566,laguerre,5,1000,False
100,10,4.957278518537245,0.00803685188293457,0.21934523428875252,0.018678780120227362,laguerre,5,1000,False
100,30,5.008655461035837,0.007997512817382812,0.2105467120821971,0.03536177809473297,laguerre,5,1000,False
100,50,5.129290348132426,0.02401113510131836,0.1842899077242219,0.09528467795140486,laguerre,5,1000,False
100,70,5.137501241676542,0.03195333480834961,0.1891313503907494,0.10042120948816004,laguerre,5,1000,False
100,90,5.171993346710931,0.04003548622131348,0.20247779268583957,0.12347153200185737,laguerre,5,1000,False
100,110,5.105338915219433,0.04796314239501953,0.20179278292716896,0.08107158883763708,laguerre,5,1000,False
100,130,5.148908316193532,0.06400156021118164,0.19514734744873813,0.10778097626430884,laguerre,5,1000,False
100,150,5.274340210875474,0.06400084495544434,0.20785904313830866,0.20587275147452827,laguerre,5,1000,False
100,170,5.250493730696021,0.0720369815826416,0.1956007706091437,0.1848015825589254,laguerre,5,1000,False
100,190,5.328967103498928,0.0800023078918457,0.19257650416342342,0.2584287902072691,laguerre,5,1000,False
110,10,1.9998775774245177,0.0,0.14326074274122436,0.02947058663534992,laguerre,5,1000,False
110,30,1.9823603482483454,0.007995128631591797,0.14265660627798998,0.023763074719098668,laguerre,5,1000,False
110,50,1.9615945899215532,0.0240020751953125,0.1251319147764394,0.017792093343258836,laguerre,5,1000,False
110,70,2.0218517478725913,0.016000032424926758,0.12963195078852763,0.03749806219399186,laguerre,5,1000,False
110,90,2.0867978859696676,0.029042720794677734,0.13048105433143198,0.06686894426218347,laguerre,5,1000,False
110,110,2.118104661317354,0.03126335144042969,0.1346128076267209,0.08404031542528254,laguerre,5,1000,False
110,130,2.1829305790855322,0.03124213218688965,0.14011157537348476,0.12582840322793673,laguerre,5,1000,False
110,150,2.1217862552007545,0.04686164855957031,0.13203766275972376,0.0861884361719887,laguerre,5,1000,False
110,170,2.1559002324039165,0.04686570167541504,0.13313794610550136,0.10738247180456502,laguerre,5,1000,False
110,190,2.124601899545452,0.04686331748962402,0.12890091848819638,0.0878495902755298,laguerre,5,1000,False
